id, type, level, gold, energy, quick_spell, image, spell_type_image, name, description,unique_type,health,font_size,sub_effect,NOTES
testId, spell,VI,5,2, y, test_spell_icon_1, passive, Test Spell One,"This is the description of the spell where you get to spot one <dice- b r n=5 p></dice->, one <dice- g n=2 p></dice->, one <dice- n=6></dice->, and finally add <dice- r b></dice-><dice- r g></dice-><dice- b r p></dice-> to your dice pool. This also contains a very long text where I practice to write without making any spelling mistakes, though it can be hard sometimes.",Test,5,10,,
testId, talent,III, , , , test_spell_icon_3, , The Test Talent,"This is the description of the talent where you get to spot one <dice- r p></dice->, one <dice- g n=2 p></dice->, one <dice- n=6></dice->, and finally one <dice- r g n=8></dice-> dice. Can this be little longer? And now I'm adding even more text. Even even more text, there is so much text. even lonver than beofer and wilth speling mistakes",,,10,,
warlock_back, class_back, , , , , test_spell_icon_2, , , ,,,,,
warrior_back, class_back, , , , , test_spell_icon_3, , , ,,,,,
druid,spell,I,2,1,, test_spell_icon_1,active,Demoralizing Roar,You must have <b>Bear Form</b> equipped to use this power.<br><br><i>Start of your Dice Pool step:</i><br>Add <dice- g></dice-><dice- g></dice-><dice- g></dice-> to your dice pool.,,,,,
druid,spell,I,2,1,, test_spell_icon_1,active,Maul,You must have <b>Bear Form</b> equipped to use this power.<br><br><i>During your Place Tokens step:</i><br>You may move up to 2 hit tokens from the defense box into the damage box.,,,,,
druid,spell,I,2,3,, test_spell_icon_1,passive,Mark of the Wild,Each friendly participating character may add <dice- g></dice-> to their dice pool.,,,,,
druid,spell,I,3,0,, test_spell_icon_1,weapon,Bear Form,Add <dice- r></dice-><dice- r></dice-><dice- g></dice-> to your dice pool.,Beast Form,,,,
druid,spell,I,2,1,, test_spell_icon_1,active,Rejuvenation,<i>After a friendly participating character loses a Health:</i><br>That character regains up to 2 Health. Then unequip <b>Rejuvenation</b>.,,,,,
druid,spell,II,5,2,, test_spell_icon_1,active,Moonfire,"Add <dice- b></dice-><dice- b></dice-> to your dice pool.<br><br>If you used <b>Moonfire</b> during the previous combat round, you may add an additional <dice- b></dice-> to your dice pool.",,,,,
druid,spell,II,6,1,, test_spell_icon_1,active,Entangling Roots,<i>End of your Reroll step:</i><br>Spot one <dice- r b n=7 p></dice-> to roll an additional <dice- b></dice-> and gain <b>ATTRITION +1</b>.,,,,,
druid,spell,II,7,0,, test_spell_icon_1,weapon,Cat Form,Add <dice- r></dice-><dice- r></dice-><dice- r></dice-> to your dice pool.,Beast Form,,,,
druid,spell,II,6,1,, test_spell_icon_1,active,Rip,"You must have <b>Cat Form</b> equipped to use this power.<br><br><i>End of your Reroll step:</i><br>Spot one <dice- r n=7 p></dice-> to place 1 hit token in the damage box.<br><br>If you used <b>Claw</b> during this combat round, you also gain <b>ATTRITION +1</b>.",,,,,
druid,spell,II,4,0,, test_spell_icon_1,passive,Prowl,You may chose to take a travel action even if your character is in a region containing one or more independent creatures.<br><br><i>During your Travel action:</i><br>You may move through regions occupied by independent creatures.,,,,,
druid,spell,II,7,2,, test_spell_icon_1,active,Claw,"You must have <b>Cat Form</b> equipped to use this power.<br><br><i>End of your Dice Pool step:</i><br>Add <dice- r></dice-><dice- r></dice-> to your dice pool.<br><br>If this is the first combat round, add an additional <dice- b></dice-> to your dice pool.",,,,,
druid,spell,III,9,3,, test_spell_icon_1,active,Healing Touch,<i>After a friendly participating character loses a Health:</i><br>That character regains up to 3 Health.,,,,,
druid,spell,III,8,3,, test_spell_icon_1,passive,Thorns,<i>End of your Reroll step:</i><br>Remove up to three <dice- g n=5 p></dice-> to place an equal number of hit tokens in the damage box.,,,,,
druid,spell,III,8,0,, test_spell_icon_1,active,Enrage,"You must have <b>Bear Form</b> equipped to use this power.<br><br><i>Start of your dice Pool step:</i><br>You may remove up to three <dice- g></dice-> from your dice pool. Gain 1 Energy for each <dice- g></dice-> you remove. At the end of combat, lose any Energy in excess of your capacity.",,,,,
druid,spell,III,7,3,, test_spell_icon_1,active,Insect Swarm,<i>Start of your Dice Pool step:</i><br>Add <dice- g></dice-> <dice- g></dice-> to your dice pool and gain <b>ATTRITAION +2</i>.,,,,,
druid, spell,IV,12,1,, test_spell_icon_1,active,Barkskin,<i>End of your Reroll step:</i><br>Place 3 armor tokens in the defense box. Then unequip <b>Barkskin</b>.,,,,,
druid,spell,IV,14,4,, test_spell_icon_1,passive,Ferocious Bite,"<i>End of your Reroll step:</i><br>If your Cat Form is equipped, spend any amount of your available Energy. Change one <dice- b></dice-> into a <dice- r  n=8></dice-> for each Energy you spend.",,,,,
druid,spell,IV,13,X,, test_spell_icon_1,active,Frenzied Regeneration,<i>Start of your action:</i><br>Regain X Health.,,,,,
druid,spell,VI,20,3,, test_spell_icon_1,active,Starfire,Add <dice- b></dice-><dice- b></dice-><dice- b></dice-><dice- b></dice-> to your dice pool.,,,,,
druid,spell,V,16,3,, test_spell_icon_1,active,Tranquility,<i>Start of your Dice Pool step:</i><br>Each friendly participating character regains 3 Health. Then unequip <b>Tranquility</b>.,,,,,
druid,spell,V,18,1,, test_spell_icon_1,active,Ravage,You must have <b>Cat Form</b> equipped to use this power.<br><br><i>Start of your first Dice Pool step:</i><br>Add <dice- b></dice-><dice- b></dice-><dice- b></dice-><dice- r></dice-> to your dice pool.,,,,,
druid,spell,V,20,4,, test_spell_icon_1,active,Faerie Fire,<i>Start of your Dice Pool step:</i><br>Lower the Threat value of all your opponents by 1 until the end of this combat round.,,,,,
druid,spell,VI,25,2,, test_spell_icon_1,active,Force of Nature,Add <dice- b></dice-><dice- b></dice-><dice- r></dice-><dice- r></dice-><dice- g></dice-><dice- g></dice-> to your dice pool.,,,,,
druid,spell,VI,22,1,, test_spell_icon_1,active,Cyclone,<i>Start of the Damage step:</i><br>Unequip <b>Cylcone</b> to lower a creature’s Attack value to 0 until the end of this combat round. That creature may not be assigned any hit tokens this combat round.,,,,,
druid,spell,VI,30,2,y, test_spell_icon_1,passive,Moonking Form,Add <dice- b></dice-><dice- b></dice-><dice- g></dice-><dice- g></dice-> to your dice pool.<br><i>During each friendly participating characters’ Place Tokens step:</i><br>The Threat value of all your opponents is considered to be lowererd by 1 for <dice- b></dice-> only.,Beast Form,,,,
druid,talent,II,,,, test_spell_icon_1,,Reflection,"<i>Start of your acion:</i><br>Gain 1 Energy.<br><br>At the end of your faction turn, lose any Energy in excess of your capacity.",,,,,
druid,talent,II,,,, test_spell_icon_1,,Feline Swiftness,You must have <b>Cat Form</b> equipped to use this power.<br><br><i>During your Travel action:</i><br>You may move one additional region. Then unequip <b>Cat Form</b>.,,,,,
druid,talent,II,,,, test_spell_icon_1,,Gift of Nature,"When you use <b>Rejuvenation</b>, <b>Healing Touch</b>, or <b>Tranquility</b>, place 1 armor token in the defense box.",,,,,
druid,talent,II,,,, test_spell_icon_1,,Omen of Clarity,"<i>End of your Reroll step:</i><br>If you have a <b><i>Mace</i></b> or <b><i>Staff</i></b> equipped, you may regain 1 Energy for each <dice- r n=7 p></dice-> you spot.",,,,,
druid,talent,II,,,, test_spell_icon_1,,Ferocity,<b>Bear Form</b> and <b>Cat Form</b> also gain <b>REROLL +1</b> and <b>ATTRITION +1</b>.,,,,,
druid,talent,II,,,, test_spell_icon_1,,Moonfury,"<b>Moonfire</b> adds an additional <dice- b></dice-> to your dice pool.<br><br>When you use <b>Starfire</b>, you also gain <b>ATTRITION +3</b>.",,,,,
druid,talent,III,,,, test_spell_icon_1,,Nature’s Grasp,<i>End of your Dice Pool step:</i><br>You may reroll any number of <dice- g></dice-> once.<br><br>These dice may also re rerolled during your Reroll step using your Reroll value.,,,,,
druid,talent,III,,,, test_spell_icon_1,,Nature’s Grace,"The first time you use <b>Rejuvenation</b> during each combat, you do not have to unequip it.<br><br>You may use <b>Moonfire</b> twice in the same combat round.",,,,,
